rho,ic_spread,concentration,n_features,n_samples,noise,seed,cond,mean_cv,median_cv,max_cv,n_active,coef_err,spurious,missed
0.01,0.01,0.99,9,100,0.01,5,1417.4545630082393,2.1427477324434427,0.9994839629912894,9.81989121181799,9,0.787086374770667,3,2
0.0,0.0,1.0,9,100,0.01,0,327556685400.9994,0.7419215842011029,0.7733018209252642,1.4209439550664063,8,0.8521331098792706,6,6
0.0,0.0,1.0,9,100,0.01,1,730376183649.8479,1.2388586355032494,1.2992990223800047,3.1629978871190048,10,0.8539933108122147,7,5
0.0,0.0,1.0,9,100,0.01,2,407734717964.57513,0.6395926994816471,0.4464150202791978,1.9440554226653068,15,0.8463761340911713,10,3
0.0,0.0,1.0,9,100,0.01,3,341582132948.2502,0.8036917391642948,0.5597804500228475,1.5837292183160072,9,0.8588053145533736,5,4
0.0,0.0,1.0,9,100,0.01,4,560465248277.0765,1.0036996850481503,0.7014548541996332,2.219608784936328,13,0.8506243296814577,8,3
0.0,0.0,1.0,9,100,0.01,5,662373936413.2028,0.9235508446334629,1.177508078129296,1.5250264109685132,8,0.8525965662443514,5,5
1.0,1.0,0.0,9,250,0.001,0,13.950294542173225,0.4663711332113615,0.36928649133369845,1.175023330578778,10,0.01588942875709613,2,0
1.0,1.0,0.0,9,250,0.001,1,10.51193831428122,0.3924130168322793,0.4058767437344465,0.9834307874146206,12,0.2706036447875829,4,0
1.0,1.0,0.0,9,250,0.001,2,9.636326752676196,2.617697888668224,0.6034687528173824,12.392708775618539,13,0.060192306219910556,5,0
1.0,1.0,0.0,9,250,0.001,3,10.70414120849787,0.5067363852339252,0.5002502484205175,1.428776433144657,11,0.1008736643760837,3,0
1.0,1.0,0.0,9,250,0.001,4,16.907132487961714,0.4028515348355075,0.4015906944755018,1.0832479915220063,8,0.0008513546722190971,0,0
1.0,1.0,0.0,9,250,0.001,5,17.97137995133998,0.6479184924348288,0.5856091748070396,1.968747387277159,11,0.23391911188844886,3,0
0.75,0.75,0.25,9,250,0.001,0,15.534281968597242,0.43229234518582726,0.32859088273421255,0.9598763568978552,10,0.008867135706201332,2,0
0.75,0.75,0.25,9,250,0.001,1,11.367145789674197,0.36564042761085774,0.40196922981609684,0.8222210851085692,12,0.29433644168666384,4,0
0.75,0.75,0.25,9,250,0.001,2,10.488658608854035,6.67748754803074,0.5551429109206627,61.33886163108702,13,0.09825518517300937,5,0
0.75,0.75,0.25,9,250,0.001,3,12.485612809257237,0.5431915897208551,0.4743913888066209,1.5120127073381333,11,0.05411639587598406,3,0
0.75,0.75,0.25,9,250,0.001,4,18.487402887407967,0.41395138004052023,0.4451339339475029,1.014817573449348,8,0.0008100339649130803,0,0
0.75,0.75,0.25,9,250,0.001,5,19.59984696185913,0.6474397640798594,0.6235513941441253,1.7757248787687812,12,0.23412745984182498,4,0
0.5,0.5,0.5,9,250,0.001,0,20.056696516840656,0.43571244629663497,0.448816853566504,0.8209933240276968,10,0.004129040272132204,2,0
0.5,0.5,0.5,9,250,0.001,1,14.247047534756245,0.3639549632186843,0.4317842160793892,0.6333414994628741,12,0.3584130194913776,4,0
0.5,0.5,0.5,9,250,0.001,2,13.22139012041981,2.5409878495724585,0.5145118609077088,15.891143167434544,11,0.16392787935619388,3,0
0.5,0.5,0.5,9,250,0.001,3,17.877173759915088,0.5426661836059666,0.45564230343189577,1.834905049202774,9,0.0018780658260312234,1,0
0.5,0.5,0.5,9,250,0.001,4,24.067128208659536,0.4547959421939598,0.5479239692292854,0.96177471955852,8,0.0010481856954546946,0,0
0.5,0.5,0.5,9,250,0.001,5,24.640797684827156,0.6654408935982289,0.6337482083116175,1.629109703379517,12,0.24956460195086205,4,0
0.25,0.25,0.75,9,250,0.001,0,35.726648576523665,0.4135654269409743,0.4727135147316309,0.7621920649900672,8,0.0018998345454244558,0,0
0.25,0.25,0.75,9,250,0.001,1,25.678108078299346,0.35805117660241087,0.37737232940648946,0.7814795565347991,11,0.4895213694374631,3,0
