rho,n_features,n_samples,noise,seed,cond,mean_cv,median_cv,max_cv,n_active,coef_err,spurious,missed
0.9,6,250,0.1,3,4.071053282638711,0.8246427767463077,0.4049413869973216,2.4603920882329033,4,0.01390995779998599,2,0
0.99,6,250,0.1,0,13.354575579952234,0.757290848799446,0.4772442444043534,2.065729551529845,4,0.024295276465314694,2,0
0.99,6,250,0.1,1,13.55685841301709,0.8532971136576675,0.5554599922283823,2.2919073571745745,4,0.022740615757217485,2,0
0.99,6,250,0.1,2,15.096358607475425,0.05142023192787548,0.05142023192787548,0.08892218552104626,2,0.005044290215060764,0,0
0.99,6,250,0.1,3,13.109441172798935,1.000243807966491,0.3693932621792221,3.2504551680967806,4,0.030465765239551846,2,0
0.999,6,250,0.1,0,42.28156024117632,0.929318605368197,0.6494381740016576,2.410312201677313,4,0.06314083531077334,2,0
0.999,6,250,0.1,1,43.19273244777512,1.9822190277084752,0.3013393985331285,5.637735249229812,3,0.059351241534378874,1,0
0.999,6,250,0.1,2,47.99261050247944,0.13662215426483604,0.13662215426483604,0.2640888072464215,2,0.0063051416155270115,0,0
0.999,6,250,0.1,3,41.57475392970251,5.786022475573513,0.507757616797683,22.120325667141984,4,0.04735074372579566,2,0
0.9999,6,250,0.1,0,133.71308542942998,1.6092995275949642,1.1835552229318909,4.061978270774241,4,0.18793684163439406,2,0
0.9999,6,250,0.1,1,136.85971309040997,2.2091244161197188,0.7208227030002986,5.898739235326663,3,0.1926754964745789,1,0
0.9999,6,250,0.1,2,151.93262243862094,0.3573891020311365,0.3573891020311365,0.7056890359493608,2,0.007178471137046198,0,0
0.9999,6,250,0.1,3,131.55359875384627,1.2988633633020226,0.7116164463700766,3.7636134830095926,4,0.14529043374454484,2,0
0.0,6,1000,0.01,0,1.1246723165330965,0.03372868222499039,0.03372868222499039,0.06071104644728076,2,0.00024211672625796963,0,0
0.0,6,1000,0.01,1,1.143854285913361,0.01748884155492597,0.01748884155492597,0.03251494767451979,2,0.00011309116196815233,0,0
0.0,6,1000,0.01,2,1.1089205358252545,0.02059154643844756,0.02059154643844756,0.031029566197595265,2,0.00017291026883228903,0,0
0.0,6,1000,0.01,3,1.12500621010529,0.013016383596283595,0.013016383596283595,0.024811306597568885,2,0.00012825842213366647,0,0
0.9,6,1000,0.01,0,4.281271666820335,0.02806752606366863,0.02806752606366863,0.029980320288024144,2,0.00024211672625796963,0,0
0.9,6,1000,0.01,1,4.54373602319227,0.008904030933605016,0.008904030933605016,0.009624202259242903,2,0.00011028445958278877,0,0
0.9,6,1000,0.01,2,4.335359979615415,0.016785108319315546,0.016785108319315546,0.021219294430062735,2,0.00016743882705436657,0,0
0.9,6,1000,0.01,3,4.368464524460709,0.013698965009539345,0.013698965009539345,0.016123633951270942,2,0.00013744311961125783,0,0
0.99,6,1000,0.01,0,13.970974199660954,0.04605175610710809,0.04605175610710809,0.08595806989019329,2,0.00024211672625796963,0,0
0.99,6,1000,0.01,1,14.767108490729218,0.01764868716103723,0.01764868716103723,0.03348010825713905,2,0.00011028445958278877,0,0
0.99,6,1000,0.01,2,14.046464342363272,0.030877611715249283,0.030877611715249283,0.058456353229077704,2,0.00018695753100660928,0,0
0.99,6,1000,0.01,3,14.197942598715047,0.02332990660058995,0.02332990660058995,0.04091069960944104,2,0.00013744311961125783,0,0
0.999,6,1000,0.01,0,44.415716201134195,0.12430240247532438,0.12430240247532438,0.2468070334413791,2,0.00017860076596891978,0,0
0.999,6,1000,0.01,1,46.83445989455336,0.05553289374618171,0.05553289374618171,0.11051143948476148,2,0.00011864058517545694,0,0
0.999,6,1000,0.01,2,44.547362767603246,0.08633857646919034,0.08633857646919034,0.17160257756462316,2,6.235758311883695e-05,0,0
0.999,6,1000,0.01,3,45.06458824837851,0.7907694010099768,0.12775542914478324,2.242470119428251,3,0.007530980920967675,1,0
0.9999,6,1000,0.01,0,140.6274109044572,0.3262420346408399,0.3262420346408399,0.6518170099359663,2,0.00017028272732840592,0,0
0.9999,6,1000,0.01,1,148.15794421281944,0.16858211548985386,0.16858211548985386,0.3367115117143271,2,0.00021756860034557695,0,0
0.9999,6,1000,0.01,2,140.93449666180825,1.8793913670404123,0.4836074007467864,5.154039582599424,3,0.0066152904098678005,1,0
0.9999,6,1000,0.01,3,142.60504104047217,2.0531537671131823,0.37456551239941976,5.784047619939431,3,0.023546116428189125,1,0
0.0,6,1000,0.1,0,1.1246723165330965,0.03429724869655993,0.03429724869655993,0.061541092731097535,2,0.0024211672625795754,0,0
0.0,6,1000,0.1,1,1.143854285913361,0.017849069195573667,0.017849069195573667,0.032460314688173425,2,0.0011309116196830792,0,0
0.0,6,1000,0.1,2,1.1089205358252545,0.02085765721778144,0.02085765721778144,0.03094413294143979,2,0.0017249576496441525,0,0
0.0,6,1000,0.1,3,1.12500621010529,0.014219835063857291,0.014219835063857291,0.0263346120946996,2,0.0012825842213341303,0,0
0.9,6,1000,0.1,0,4.281271666820335,0.02852766894144614,0.02852766894144614,0.030285414969690744,2,0.0018151038039322647,0,0
0.9,6,1000,0.1,1,4.54373602319227,0.009299439873747293,0.009299439873747293,0.010093399103949472,2,0.0011864058517579515,0,0
0.9,6,1000,0.1,2,4.335359979615415,0.01760805994865986,0.01760805994865986,0.021823961485065803,2,0.0005276498319936103,0,0
0.9,6,1000,0.1,3,4.368464524460709,0.6440776082371933,0.018240294136818172,1.9023642907659672,3,0.007215601690757616,1,0
0.99,6,1000,0.1,0,13.970974199660954,0.04783966104625579,0.04783966104625579,0.088168270069104,2,0.001725839892521044,0,0
0.99,6,1000,0.1,1,14.767108490729218,0.01935243308186625,0.01935243308186625,0.03407331111619456,2,0.0021756860034588344,0,0
0.99,6,1000,0.1,2,14.046464342363272,0.6101669567951314,0.059575432216004795,1.765616584104491,3,0.006856577384019964,1,0
0.99,6,1000,0.1,3,14.197942598715047,0.7855251969567236,0.04114746474736499,2.3071764455583996,3,0.023557814334879475,1,0
0.999,6,1000,0.1,0,44.415716201134195,1.679220797279063,0.2557142150142094,4.777443099314385,3,0.004398638275225608,1,0
0.999,6,1000,0.1,1,46.83445989455336,0.058634851473228694,0.058634851473228694,0.11273186327660702,2,0.0032330793249146345,0,0
0.999,6,1000,0.1,2,44.547362767603246,0.9397712763614368,0.17213213437789213,2.6432690709268414,3,0.03496265215873129,1,0
0.999,6,1000,0.1,3,45.06458824837851,1.2993601297244781,0.1255148660641351,3.767485221530884,3,0.07531129481090013,1,0
0.9999,6,1000,0.1,0,140.6274109044572,4.364774756719782,0.6889944379697709,12.401168630885477,3,0.019195743105213537,1,0
0.9999,6,1000,0.1,1,148.15794421281944,0.17958628171922564,0.17958628171922564,0.35459270651801855,2,0.002175785431530544,0,0
0.9999,6,1000,0.1,2,140.93449666180825,10.996702308355212,0.4550594492958535,32.53147253524889,3,0.11151234536304686,1,0
0.9999,6,1000,0.1,3,142.60504104047217,3.722578548262719,0.333195553286007,10.830269894656267,3,0.23546147536656456,1,0
0.0,27,50,0.01,0,5.432880191047438,0.08268563356486881,0.08268563356486881,0.11125976024981664,2,0.0015889534157331538,0,0
0.0,27,50,0.01,1,5.492722398797769,0.0015776221922928716,0.0015776221922928716,0.0022670745043643714,2,0.0018552529950928251,0,0
0.0,27,50,0.01,2,6.447052948942313,0.001244846255359183,0.001244846255359183,0.0016803744632837166,2,0.0018587216220300694,0,0
0.0,27,50,0.01,3,6.266505882274905,0.13057068202878908,0.13057068202878908,0.17765195573890974,2,0.0016748118601909406,0,0
0.9,27,50,0.01,0,6.781261150757403,0.09253990380697594,0.09253990380697594,0.1511012916368689,2,0.0015889534157331538,0,0
0.9,27,50,0.01,1,7.209680819253799,0.002022715043508502,0.002022715043508502,0.002578910791103911,2,0.0018552529950928251,0,0
0.9,27,50,0.01,2,9.086500962178341,0.0012581262142155446,0.0012581262142155446,0.0017030327158718379,2,0.0018587216220300694,0,0
0.9,27,50,0.01,3,11.228776305877606,0.12197710019465735,0.12197710019465735,0.2056703831494642,2,0.0017681768770587095,0,0
0.99,27,50,0.01,0,18.908662429632674,0.18963508449156843,0.18963508449156843,0.3678278151692683,2,0.0017770547489095157,0,0
0.99,27,50,0.01,1,21.36585118661439,0.004498038149116802,0.004498038149116802,0.006450923567283875,2,0.0022592427086553413,0,0
0.99,27,50,0.01,2,26.3392785329596,0.15470463518827646,0.008258149292890421,0.454185506133061,3,0.01285997907623026,1,0
0.99,27,50,0.01,3,33.984311213013314,1.8391425448169993,0.6811620998536535,4.821644524682299,3,0.0039175142511517404,1,0
0.999,27,50,0.01,0,58.63657705207449,0.46306001028430877,0.46306001028430877,0.9220303502646322,2,0.0021335366561366226,0,0
0.999,27,50,0.01,1,68.25789005909193,0.5809505772676476,0.021665388739509066,1.718639806080418,3,0.005881611210968935,1,0
0.999,27,50,0.01,2,82.89127454336207,0.19248842516179698,0.025365169833563236,0.5504320846816152,3,0.042530976876209,1,0
0.999,27,50,0.01,3,107.4806269143004,3.2777265347878775,2.5874435118387997,7.241141006568281,3,0.020553339061142147,1,0
0.9999,27,50,0.01,0,184.53838784822284,2.2573816419944386,1.9921335671341869,4.7776639291750325,3,0.022890234702981675,1,0
0.9999,27,50,0.01,1,216.9206616025381,0.6405512897262048,0.06784436290717115,1.8512744678785205,3,0.026335160279412042,1,0
0.9999,27,50,0.01,2,262.2222485536781,0.21146352833841045,0.0830075389143185,0.549721498980348,3,0.134911681913134,1,0
0.9999,27,50,0.01,3,340.2521816456427,10.198328861041528,8.486922457990508,22.1064957598931,3,0.06894962587602513,1,0
0.0,27,50,0.1,0,5.432880191047438,5.63862496448908,4.387254863416291,36.314274611522826,20,0.05784508783072606,18,0
0.0,27,50,0.1,1,5.492722398797769,3.2369129413886797,1.7510008482580401,16.3811012148229,24,0.08156981464874277,22,0
0.0,27,50,0.1,2,6.447052948942313,5.152764455160704,2.607126605342085,25.382329210106317,20,0.06523901120614162,18,0
0.0,27,50,0.1,3,6.266505882274905,16.39395694621188,7.898110958085163,108.09197048595506,22,0.0502910300105866,20,0
0.9,27,50,0.1,0,6.781261150757403,11.806606453823928,3.5445202938034726,143.93907460758848,21,0.057779451780735624,19,0
0.9,27,50,0.1,1,7.209680819253799,3.2383748824467964,1.751000848258025,16.38110121482307,24,0.0902220932137655,22,0
0.9,27,50,0.1,2,9.086500962178341,5.1717176054256555,2.608410995332481,25.382329210106864,20,0.067685910853807,18,0
0.9,27,50,0.1,3,11.228776305877606,12.442865923843184,3.2950828115744755,142.78619302700332,23,0.052483063392356206,21,0
0.99,27,50,0.1,0,18.908662429632674,5.059981463263237,3.4094252510713106,18.476083566774534,21,0.06287082767868624,19,0
0.99,27,50,0.1,1,21.36585118661439,3.2495250224083065,1.751000848258018,16.412095458809144,24,0.1779155746091786,22,0
0.99,27,50,0.1,2,26.3392785329596,5.18179686104303,2.6084109953325196,25.382329210106022,20,0.077323706999854,18,0
0.99,27,50,0.1,3,33.984311213013314,5.396936140873164,3.4193505006543665,19.723617479691193,23,0.056011321790718334,21,0
0.999,27,50,0.1,0,58.63657705207449,42.289437826360675,2.6306985347849388,808.1203952000545,21,0.09943288838551204,19,0
0.999,27,50,0.1,1,68.25789005909193,3.314833814671525,1.7195608368464272,18.138709491436664,24,0.5285849412293265,22,0
0.999,27,50,0.1,2,82.89127454336207,5.217599931282479,2.6084109953325223,25.38232921010641,20,0.1330692720615928,18,0
0.999,27,50,0.1,3,107.4806269143004,6.006517436020238,3.6459023259190575,36.313454108377,23,0.07446142774626406,21,0
0.9999,27,50,0.1,0,184.53838784822284,6.969734706939785,2.315306672706895,72.95080834474076,20,0.2610017118573753,18,0
0.9999,27,50,0.1,1,216.9206616025381,3.5583063893915043,2.0270398710014037,17.800625313580642,24,1.6732622173284113,22,0
0.9999,27,50,0.1,2,262.2222485536781,4.943694517085831,3.098311259348918,20.220345405593154,20,0.35797292151473065,18,0
0.9999,27,50,0.1,3,340.2521816456427,8.00612021660081,4.201136762498298,50.84102888101647,22,0.17611957157945354,20,0
0.0,27,100,0.01,0,2.784286233186939,0.06461502900120444,0.06461502900120444,0.11485002030068454,2,0.0005737978732701019,0,0
0.0,27,100,0.01,1,2.9164805894458743,0.00527019874889636,0.00527019874889636,0.00937207295828669,2,0.0016336412840869707,0,0
0.0,27,100,0.01,2,3.1727024775356805,0.04908996943519441,0.04908996943519441,0.09707746475535554,2,0.0003998440523346129,0,0
0.0,27,100,0.01,3,3.0260265887716096,0.0018641902335501644,0.0018641902335501644,0.0027396051341993725,2,0.0005815966087733402,0,0
0.9,27,100,0.01,0,5.757807287509171,0.0841326614617107,0.0841326614617107,0.0866752734093187,2,0.0005507597847340975,0,0
0.9,27,100,0.01,1,5.984703954151943,0.039882399328792784,0.039882399328792784,0.07859647411807953,2,0.0016512999770455076,0,0
0.9,27,100,0.01,2,5.792741237062552,0.06736320348363098,0.06736320348363098,0.09970451106354657,2,0.0004018598538639496,0,0
0.9,27,100,0.01,3,6.4877641299108975,0.00407723660741288,0.00407723660741288,0.007168102863612159,2,0.0005917644275926579,0,0
0.99,27,100,0.01,0,18.479084646739068,0.1542228010927565,0.1542228010927565,0.2840702535530381,2,0.0009452093220701933,0,0
0.99,27,100,0.01,1,19.653724565613206,0.12691850064404703,0.12691850064404703,0.2526474829111091,2,0.0018365661517758887,0,0
0.99,27,100,0.01,2,18.204132182292568,3.477549247505822,0.31955969852150035,10.106521118571663,3,0.012183156066502266,1,0
0.99,27,100,0.01,3,19.96807169221226,0.35443881714814385,0.017098026271578394,1.0452389275636014,3,0.010698156012199835,1,0
0.999,27,100,0.01,0,58.807694899558406,0.9075940991408502,1.1140369255189237,1.6009139847960983,3,0.006095110617578003,1,0
0.999,27,100,0.01,1,62.84841381204649,1.2106901355930262,0.6987084948996423,2.9321753019462604,3,0.02003799073830488,1,0
